Name,NACA 63-412 AIRFOIL
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
95.023000,0.881000
90.049000,1.739000
85.070000,2.618000
80.084000,3.492000
75.089000,4.344000
70.087000,5.153000
65.076000,5.899000
60.057000,6.562000
55.031000,7.125000
50.000000,7.567000
44.964000,7.894000
39.924000,8.062000
34.882000,8.059000
29.840000,7.872000
24.800000,7.499000
19.765000,6.929000
14.735000,6.138000
9.718000,5.063000
7.218000,4.379000
4.727000,3.544000
2.257000,2.460000
1.041000,1.719000
0.567000,1.320000
0.336000,1.071000
0.000000,0.000000
0.664000,-0.871000
0.933000,-1.040000
1.459000,-1.291000
2.743000,-1.716000
5.273000,-2.280000
7.782000,-2.685000
10.282000,-2.995000
15.265000,-3.446000
20.235000,-3.745000
25.200000,-3.919000
30.160000,-3.984000
35.111800,-3.939000
40.076000,-3.778000
45.035000,-3.514000
50.000000,-3.164000
54.969000,-2.745000
59.943000,-2.278000
64.924000,-1.799000
69.913000,-1.265000
74.911000,-0.764000
79.916000,-0.308000
84.930000,0.074000
89.951000,0.329000
94.977000,0.330000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.336000,0.535500
0.567000,0.660000
1.041000,0.313732
2.257000,0.452432
4.727000,0.692858
7.218000,0.892520
9.718000,1.068968
14.735000,1.369985
19.765000,1.606138
24.800000,1.797009
29.840000,1.946097
34.882000,2.058956
39.924000,2.139535
44.964000,2.188110
50.000000,2.201500
55.031000,2.192911
60.057000,2.147481
65.076000,2.058135
70.087000,1.952721
75.089000,1.798109
80.084000,1.598400
85.070000,1.349555
90.049000,1.034010
95.023000,0.603989
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
