airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
a18,ok,,53.924865454,1377217786.8,937100.14237,5110708.6874,430960477.3,880944.34828,107877197.01,0.0,0.0,0.0,-4.5960357572e-08,2.7606541022e-09,-2.5310211849e-10,6.3243374866e-08,0.0,0.0,-4.5771001905e-08,0.0,0.0,0.0,0.0,-1.4315231815e-08,0.23523797202,0.037527967786,0.042892012402,0.059265375591
a18sm,ok,,54.104846297,1381814419.8,939559.02134,5053126.6825,432324373.17,881359.42217,108942101.17,0.0,0.0,0.0,-2.8932461976e-08,2.0641770331e-09,-2.8415553836e-09,4.7771364625e-08,0.0,0.0,-4.9584226176e-08,0.0,0.0,0.0,0.0,3.5485831008e-09,0.23473157361,0.026234297788,0.04658730702,0.044884016596
a63a108c,ok,,53.511727023,1366666409.6,1159590.7712,4394247.2422,430839202.44,873105.80662,106224197.12,0.0,0.0,0.0,-5.7693632226e-09,2.15648157e-09,6.111617736e-12,5.3083818517e-09,0.0,0.0,-3.053582987e-08,0.0,0.0,0.0,0.0,-9.3765565142e-10,0.22856864836,0.0048501449196,0.035409066509,0.0061555506053
ag03,ok,,51.324712992,1310811015.3,652221.14956,3167833.3493,416030915.12,515769.38734,94446115.803,0.0,0.0,0.0,-3.1512243312e-08,2.5431855894e-09,2.1227323664e-09,3.6705454736e-08,0.0,0.0,-2.0202481279e-08,0.0,0.0,0.0,0.0,-1.730709354e-08,0.21360771764,0.014347437351,0.013176485564,0.023940073883
ag08,ok,,50.664598551,1293951977.4,495002.9151,2784569.9848,413399994.44,399777.44586,91669717.698,0.0,0.0,0.0,-3.4097808147e-08,2.3882760179e-09,1.7926905624e-09,4.3653008974e-08,0.0,0.0,3.4634138368e-08,0.0,0.0,0.0,0.0,-8.2080536494e-09,0.20867344554,0.012946934727,-0.017143999454,0.021608366695
ag11,ok,,51.536277318,1316214276.8,564659.29193,2830983.287,418402729.65,450720.79645,95816902.707,0.0,0.0,0.0,-4.1912826282e-08,2.7717456959e-09,3.3357399651e-09,4.7399596527e-08,0.0,0.0,-3.111375093e-08,0.0,0.0,0.0,0.0,-2.8042518268e-08,0.21477837982,0.016178921418,0.017568668569,0.026764622612
ag04,ok,,50.676753137,1294262400.3,621288.27519,3303954.7386,412886627.59,497168.63047,91546813.283,0.0,0.0,0.0,-2.6975102105e-08,2.3712046237e-09,1.5641285205e-09,3.3880341973e-08,0.0,0.0,2.685155042e-08,0.0,0.0,0.0,0.0,-7.2291094484e-09,0.20819786626,0.012663057911,-0.016682553447,0.021049459227
ag12,ok,,48.591739572,1241012053.8,530852.1281,3337856.4735,401501874.63,427944.42343,82453996.126,0.0,0.0,0.0,-3.2472456477e-08,2.3003994774e-09,8.0517208067e-10,4.0321124977e-08,0.0,0.0,4.714029598e-08,0.0,0.0,0.0,0.0,1.514884244e-09,0.19141282544,0.014020502893,-0.02502452644,0.021404555001
ag10,ok,,50.189454302,1281816998.4,289286.77509,1986448.5813,414046427.69,235565.43249,90762911.737,0.0,0.0,0.0,-5.6337259934e-08,2.6096604814e-09,4.789271806e-09,7.043329591e-08,0.0,0.0,1.0515952464e-07,0.0,0.0,0.0,0.0,-2.6041833196e-08,0.20548341599,0.012011014742,-0.030421259753,0.020375421033
ag09,ok,,49.625127279,1267404329.8,329988.12184,2199757.9884,408985360.32,269903.15953,87473935.157,0.0,0.0,0.0,-5.2774010921e-08,2.6144719268e-09,3.2911814506e-09,6.6943012097e-08,0.0,0.0,4.2648626512e-08,0.0,0.0,0.0,0.0,-2.2262813581e-08,0.20095112109,0.013036868623,-0.014073540162,0.022090398832
ag13,ok,,48.239789102,1232023390.7,455025.8392,3060363.7499,399920582.02,370589.66757,81167715.416,0.0,0.0,0.0,-4.0386237875e-08,2.3142359086e-09,9.7126257598e-10,5.0399568182e-08,0.0,0.0,4.8756398192e-08,0.0,0.0,0.0,0.0,1.0049443072e-09,0.18906203655,0.015037135421,-0.022185421004,0.022933105807
ag14,ok,,47.712798023,1218564266.0,370605.55137,2759142.9517,397430082.0,307253.18844,79267907.305,0.0,0.0,0.0,-5.2578945833e-08,2.3700330397e-09,1.5597059664e-09,6.6278619849e-08,0.0,0.0,5.850398054e-08,0.0,0.0,0.0,0.0,-1.9473206399e-09,0.18537379795,0.016044141579,-0.021681899965,0.024563224453
ag16,ok,,49.699325109,1269299310.2,740220.46594,4094739.2519,406441636.8,596547.16156,86806035.352,0.0,0.0,0.0,-2.260408583e-08,2.2456974623e-09,6.5025738102e-11,2.877978073e-08,0.0,0.0,2.6961369242e-08,0.0,0.0,0.0,0.0,3.7116734113e-09,0.19928374708,0.013925723716,-0.019957357302,0.021303382702
ag23,ok,,51.589075155,1317562711.0,1379122.7855,6088688.9493,415183425.16,1101419.5997,95143979.497,0.0,0.0,0.0,-1.476089817e-08,2.2199083318e-09,-5.5486753556e-10,1.8394769038e-08,0.0,0.0,-1.4765401471e-08,0.0,0.0,0.0,0.0,9.1443475653e-10,0.21262518519,0.016472110519,0.020363301607,0.025368645115
ag17,ok,,49.158059107,1255475610.3,597873.14626,3575440.2802,404003305.38,485478.85816,84617571.953,0.0,0.0,0.0,-3.0623396418e-08,2.2713188296e-09,3.4439826598e-10,3.8810847904e-08,0.0,0.0,2.954362211e-08,0.0,0.0,0.0,0.0,2.6765785868e-09,0.19556032184,0.015121152652,-0.017663338303,0.023203963746
ag24,ok,,51.242297073,1308706148.3,1191579.8584,5514056.7799,413502283.78,956564.08966,93522039.272,0.0,0.0,0.0,-1.7097588472e-08,2.2257453521e-09,-5.0071749904e-10,2.1499297451e-08,0.0,0.0,-9.7980725749e-09,0.0,0.0,0.0,0.0,1.3883348558e-09,0.21027939709,0.016634226407,0.011675185931,0.025618129811
ag25,ok,,50.655206064,1293712097.3,922462.2364,4672197.5801,410703131.67,750911.23584,90857755.664,0.0,0.0,0.0,-2.3704486867e-08,2.245065732e-09,-3.7230910268e-10,3.0143834092e-08,0.0,0.0,-5.0827774559e-09,0.0,0.0,0.0,0.0,1.3980310692e-09,0.20624239366,0.018016498245,0.0046886702591,0.02780654861
ag18,ok,,48.496086903,1238569125.9,470943.27465,3132657.7449,401000544.79,388061.92433,82071580.06,0.0,0.0,0.0,-4.185976258e-08,2.3047734637e-09,6.2115680771e-10,5.3273011276e-08,0.0,0.0,3.0992615692e-08,0.0,0.0,0.0,0.0,1.3048582146e-09,0.19089596919,0.016340847417,-0.014595763924,0.02508856638
ag26,ok,,50.05784798,1278455829.6,715220.9989,4042834.1901,408130099.32,594314.03551,88328580.422,0.0,0.0,0.0,-3.18658618e-08,2.2751255384e-09,-5.2024557848e-11,4.1418298849e-08,0.0,0.0,1.3574215146e-09,0.0,0.0,0.0,0.0,5.7510836215e-10,0.20192062426,0.019007346611,-0.00097085637157,0.029623237076
ag19,ok,,47.931462869,1224148871.8,388206.99473,2858490.1362,398392033.59,325573.61373,80015338.923,0.0,0.0,0.0,-5.3091304084e-08,2.3407355334e-09,7.7857377083e-10,6.8323770239e-08,0.0,0.0,2.9240030877e-08,0.0,0.0,0.0,0.0,-3.0001288748e-10,0.18687980481,0.01726687417,-0.011351184513,0.026523765513
ag27,ok,,49.37473634,1261009453.3,532887.59374,3523926.5138,405336099.57,458913.78622,85641647.166,0.0,0.0,0.0,-4.3673610804e-08,2.3063082805e-09,3.9776692578e-10,5.9024211647e-08,0.0,0.0,1.1591822125e-08,0.0,0.0,0.0,0.0,-3.1145654411e-10,0.19698143137,0.020014267612,-0.0061771381993,0.031453270117
ag35,ok,,53.261440233,1360274193.0,1388969.8305,5752303.165,426701623.8,1118071.0825,104184363.41,0.0,0.0,0.0,-3.5469197533e-08,3.4147422009e-09,5.1287366889e-09,3.5515390973e-08,0.0,0.0,-1.6314293231e-08,0.0,0.0,0.0,0.0,-3.1176282332e-08,0.22651582005,0.03180046057,0.022660061104,0.049329806579
ag36,ok,,53.207394826,1358893896.6,1201444.849,5009590.2688,426702352.88,964922.0319,103969883.12,0.0,0.0,0.0,-3.840589635e-08,3.41935195e-09,5.4302955961e-09,3.8399850527e-08,0.0,0.0,-1.8010035704e-08,0.0,0.0,0.0,0.0,-3.3250961308e-08,0.2270242741,0.029805718486,0.021638064626,0.046135302616
ag37,ok,,53.434423887,1364692120.9,1070666.3821,4418552.7515,428602914.98,855562.61562,105320268.69,0.0,0.0,0.0,-4.0939058698e-08,3.3937095401e-09,5.782517766e-09,4.0618503464e-08,0.0,0.0,-1.7536453398e-08,0.0,0.0,0.0,0.0,-3.463828023e-08,0.22933109523,0.0282546914,0.018775691114,0.043488866149
ag38,ok,,53.608967179,1369149881.2,901223.70725,3664904.3361,430295218.16,711313.48888,106426562.74,0.0,0.0,0.0,-4.489701727e-08,3.3089154425e-09,5.2769869394e-09,4.3880399607e-08,0.0,0.0,-3.5887053446e-08,0.0,0.0,0.0,0.0,-3.5336973874e-08,0.23182823767,0.026125324545,0.032342263349,0.039546056409
ag44ct02r,ok,,51.159028846,1306579513.7,846454.75867,4155583.3922,414283438.97,679103.69643,93455457.631,0.0,0.0,0.0,-2.2710895945e-08,2.4270914312e-09,2.0261560796e-09,2.7291659432e-08,0.0,0.0,1.4874489975e-08,0.0,0.0,0.0,0.0,-1.1290808998e-08,0.21053728981,0.01380954921,-0.012590582822,0.023101154999
ag455ct02r,ok,,49.907102307,1274605850.3,625825.76269,3433056.0477,408019410.13,498705.5415,87846854.707,0.0,0.0,0.0,-2.8995223583e-08,2.5184504877e-09,2.7549972719e-09,3.4147484764e-08,0.0,0.0,3.2492024497e-08,0.0,0.0,0.0,0.0,-1.5816108947e-08,0.20113334338,0.012874428697,-0.020334346012,0.021370375696
ag45ct02r,ok,,50.367998887,1286376950.0,725760.80731,3814622.7035,410226911.93,580705.82979,89850330.312,0.0,0.0,0.0,-2.5205539903e-08,2.4766563641e-09,2.40783189e-09,3.0086704935e-08,0.0,0.0,2.3908732947e-08,0.0,0.0,0.0,0.0,-1.3678359678e-08,0.20452530715,0.01301326478,-0.017352021326,0.021835751263
ag45c03,ok,,49.643719791,1267879174.5,708213.74197,4014769.9307,406297366.39,573753.61009,86624207.267,0.0,0.0,0.0,-3.4428990395e-08,2.0979881221e-09,-6.1104909292e-10,3.8228487033e-08,0.0,0.0,3.6675336901e-08,0.0,0.0,0.0,0.0,9.4543855609e-09,0.19790908027,0.0208279299,-0.025973977585,0.027073939851
ag46c03,ok,,49.060602971,1252986622.6,538168.30028,3128738.1027,403503753.85,424408.02113,84189327.667,0.0,0.0,0.0,-4.0983672276e-08,2.0178209707e-09,-1.965955988e-09,4.3872595409e-08,0.0,0.0,2.4727386286e-08,0.0,0.0,0.0,0.0,1.6869633515e-08,0.19457366174,0.018787838345,-0.013307495448,0.0236108401
ag46ct02r,ok,,49.690375777,1269070748.7,547419.3746,3052686.0725,407094927.47,432142.14149,86959940.145,0.0,0.0,0.0,-3.0646881471e-08,2.518844623e-09,2.7012232968e-09,3.5729630755e-08,0.0,0.0,3.1592817609e-08,0.0,0.0,0.0,0.0,-1.6488517567e-08,0.200037891,0.011819065438,-0.017294520457,0.019559092123
ag52,ok,,52.642448303,1344465406.3,1261425.7425,5165874.0323,422422786.33,991901.27269,100754834.22,0.0,0.0,0.0,-1.3605939693e-08,2.2474480984e-09,4.4265134093e-11,1.6651259956e-08,0.0,0.0,-2.089843274e-08,0.0,0.0,0.0,0.0,-2.7830561126e-09,0.22265522404,0.012881204526,0.026361821037,0.021004327955
ag53,ok,,52.395618193,1338161471.8,1154927.799,4873021.8605,421096375.05,910306.05486,99511266.708,0.0,0.0,0.0,-1.518291079e-08,2.2685026181e-09,2.1616949925e-10,1.8539273652e-08,0.0,0.0,-1.7998098227e-08,0.0,0.0,0.0,0.0,-3.550202282e-09,0.22085640203,0.013107476552,0.020786503973,0.021411522515
ag47c03,ok,,47.257076783,1206925342.3,355446.97259,2432230.6776,394780478.37,270878.97502,77550680.978,0.0,0.0,0.0,-5.3874718624e-08,1.8523650834e-09,-3.9698754531e-09,5.5135088012e-08,0.0,0.0,4.9946482436e-09,0.0,0.0,0.0,0.0,3.3858063729e-08,0.18195850688,0.016263722591,-0.0017753325973,0.019597600117
ag54,ok,,51.776296942,1322344274.4,955057.40425,4338255.007,417817478.76,757380.38473,96468041.693,0.0,0.0,0.0,-1.9103137283e-08,2.3195013652e-09,6.4446932003e-10,2.3290609235e-08,0.0,0.0,-9.5510231457e-09,0.0,0.0,0.0,0.0,-5.4048115777e-09,0.21621030368,0.013583514381,0.0091217753734,0.022243868799
ah21-9,ok,,52.66315331,1344994203.2,973094.11991,3677464.5763,422478612.7,737894.78863,100820888.91,0.0,0.0,0.0,-1.6657094403e-08,2.154708786e-09,-3.4033209164e-09,2.0043221617e-08,0.0,0.0,-1.0777981446e-07,0.0,0.0,0.0,0.0,6.7593326742e-09,0.22561043012,0.013416791199,0.1048799037,0.019503941099
ah21-7,ok,,53.541550168,1367428079.8,1709484.8594,6112917.506,427443280.99,1316467.0007,105449058.82,0.0,0.0,0.0,-1.1971338046e-08,2.1073212604e-09,-2.3510926106e-09,1.4705688058e-08,0.0,0.0,-5.7697719132e-08,0.0,0.0,0.0,0.0,4.3502826092e-09,0.22943723919,0.017074426479,0.09863337728,0.025139151082
