airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
2032c,ok,,3.2279897594,286386924.16,28075.88272,222668.3939,11760602.499,285441.56242,24509014.041,0.0,0.0,0.0,-1.862319191e-07,1.5659703199e-08,2.4182691126e-07,3.0833663408e-06,0.0,0.0,1.3506496256e-06,0.0,0.0,0.0,0.0,-1.0681368059e-07,0.24427947414,0.045753551401,-0.037920680485,0.086568231768
a18,ok,,3.1991745073,283830437.91,33143.79214,143613.75466,11778797.471,233871.08872,24103307.664,0.0,0.0,0.0,-1.7272618366e-07,1.3103912797e-08,7.1406246777e-08,1.8326333916e-06,0.0,0.0,-6.6286204095e-07,0.0,0.0,0.0,0.0,-6.9135576413e-08,0.24844906819,0.036388142957,0.021969761702,0.060740420199
a18sm,ok,,3.2014573827,284032974.38,33303.348106,142407.85466,11790806.562,233749.22963,24162046.409,0.0,0.0,0.0,-1.0890788867e-07,1.0289845811e-08,-3.2297737614e-08,1.3806414745e-06,0.0,0.0,-7.4883596644e-07,0.0,0.0,0.0,0.0,-1.6510695895e-09,0.24760812754,0.02536157794,0.024938744865,0.045979983635
a63a108c,ok,,3.2003823592,283937598.41,39046.900022,122369.61096,11835846.471,231445.32965,24233550.885,0.0,0.0,0.0,-2.1682583475e-08,1.0193117086e-08,9.8977283651e-09,1.6124950571e-07,0.0,0.0,1.9934458298e-07,0.0,0.0,0.0,0.0,-4.5525234365e-09,0.24646150313,0.0047586513157,-0.0077837880015,0.0062962933281
ag04,ok,,3.1772789706,281887868.11,21787.034713,84763.057673,11755850.154,141803.74736,23722072.435,0.0,0.0,0.0,-9.4819463118e-08,1.1048745551e-08,1.5639284765e-07,1.0257398905e-06,0.0,0.0,3.5542248101e-06,0.0,0.0,0.0,0.0,-4.8980042176e-08,0.2464636898,0.011734497956,-0.077436019318,0.022347830602
ag03,ok,,3.1767930111,281844753.79,23188.932793,84789.923881,11754936.445,146827.14376,23712650.067,0.0,0.0,0.0,-1.1034726144e-07,1.1650948954e-08,1.6997463593e-07,1.0798388984e-06,0.0,0.0,1.7307672975e-06,0.0,0.0,0.0,0.0,-7.7727869379e-08,0.24637625875,0.013391944479,-0.040134646542,0.025040311642
ag09,ok,,3.1766948645,281836046.28,12861.440393,53268.92086,11768617.83,85476.817915,23735781.157,0.0,0.0,0.0,-1.6641669443e-07,1.1979196155e-08,3.1779449726e-07,1.8176988659e-06,0.0,0.0,6.7000334155e-06,0.0,0.0,0.0,0.0,-1.0954609821e-07,0.24732384797,0.011909963179,-0.086172080406,0.023378225616
ag08,ok,,3.1775161857,281908913.81,18150.874427,71706.960838,11762975.463,118346.26746,23739390.104,0.0,0.0,0.0,-1.1542097078e-07,1.1176775326e-08,1.8223483815e-07,1.2605547677e-06,0.0,0.0,4.1772176684e-06,0.0,0.0,0.0,0.0,-5.6552553438e-08,0.24697950042,0.012007201287,-0.075820153353,0.022880171297
ag10,ok,,3.1806728487,282188972.64,11812.156817,48190.802646,11787602.336,76586.443938,23833473.578,0.0,0.0,0.0,-1.7271758774e-07,1.1874795825e-08,3.3501498778e-07,1.81391328e-06,0.0,0.0,7.9683087913e-06,0.0,0.0,0.0,0.0,-1.1287280751e-07,0.24741156353,0.011089901382,-0.094122913007,0.021426228116
ag11,ok,,3.1839936115,282483590.37,20603.327709,75618.85837,11784029.716,131301.17615,23878453.739,0.0,0.0,0.0,-1.4306572829e-07,1.2463935899e-08,2.3838058925e-07,1.3605473274e-06,0.0,0.0,1.8552973927e-06,0.0,0.0,0.0,0.0,-1.1340493578e-07,0.24668541631,0.015114873374,-0.038225300179,0.028031802449
ag12,ok,,3.1673089232,281003326.51,18175.024263,79191.977083,11719590.201,124701.65394,23500235.784,0.0,0.0,0.0,-1.1246973999e-07,1.0972862555e-08,1.9409379602e-07,1.2902375175e-06,0.0,0.0,5.8401181477e-06,0.0,0.0,0.0,0.0,-3.8395618401e-08,0.24520392451,0.012851423107,-0.10614428903,0.023450098185
ag13,ok,,3.1660506984,280891696.95,15935.974335,71678.88139,11718073.842,110849.33518,23478303.806,0.0,0.0,0.0,-1.3619087207e-07,1.1202130798e-08,2.38711427e-07,1.5780412996e-06,0.0,0.0,6.5956142166e-06,0.0,0.0,0.0,0.0,-4.9909586501e-08,0.24530878069,0.013739932976,-0.10510753888,0.02514762565
ag14,ok,,3.1646902606,280770999.04,13410.01254,63188.9467,11716757.02,95099.747611,23454908.901,0.0,0.0,0.0,-1.7107158124e-07,1.1635937537e-08,3.1509271397e-07,2.0053464938e-06,0.0,0.0,7.940958593e-06,0.0,0.0,0.0,0.0,-7.2124057691e-08,0.24538552344,0.014586458935,-0.10648835431,0.026891721629
ag16,ok,,3.1714055912,281366782.49,24555.082084,101498.63819,11722765.273,165541.77305,23568653.107,0.0,0.0,0.0,-8.2389463355e-08,1.0648723963e-08,1.140533601e-07,9.470960122e-07,0.0,0.0,3.6454352649e-06,0.0,0.0,0.0,0.0,-1.8640998712e-08,0.24498151679,0.012883041755,-0.089513962159,0.023256020321
ag17,ok,,3.1690290947,281155939.96,20339.833431,87332.471769,11720515.854,139228.62054,23528272.817,0.0,0.0,0.0,-1.0787484854e-07,1.0909750508e-08,1.636999593e-07,1.246790903e-06,0.0,0.0,4.4964996567e-06,0.0,0.0,0.0,0.0,-3.2600411735e-08,0.24516201792,0.013906786146,-0.091458054041,0.025359519291
ag18,ok,,3.1669291455,280969632.68,16515.741866,74752.618216,11718202.072,115690.72369,23491978.844,0.0,0.0,0.0,-1.4169724318e-07,1.1288681082e-08,2.3083698885e-07,1.6631755315e-06,0.0,0.0,5.637865466e-06,0.0,0.0,0.0,0.0,-5.1630398145e-08,0.24530080626,0.014928371382,-0.093113530712,0.027468577757
ag19,ok,,3.1656244527,280853880.47,13989.724884,66584.655162,11716758.799,100282.16692,23469231.942,0.0,0.0,0.0,-1.7378858377e-07,1.1687842073e-08,2.9464765992e-07,2.0773198998e-06,0.0,0.0,6.6745281751e-06,0.0,0.0,0.0,0.0,-7.0699057585e-08,0.24537354741,0.015689025019,-0.093374812898,0.029061133894
ag23,ok,,3.1818718183,282295345.1,43869.144122,160465.66114,11731104.18,283388.38425,23744718.15,0.0,0.0,0.0,-5.7800558549e-08,1.0499660992e-08,3.9671345979e-08,6.1545898804e-07,0.0,0.0,6.9376454019e-07,0.0,0.0,0.0,0.0,-1.2411849532e-08,0.24448092121,0.015520270401,-0.0304348566,0.026999659048
ag24,ok,,3.1792469637,282062468.26,38326.16724,144347.90988,11728829.219,250352.78499,23700111.963,0.0,0.0,0.0,-6.5867011883e-08,1.0556050075e-08,5.354837132e-08,7.1453087022e-07,0.0,0.0,1.0923611554e-06,0.0,0.0,0.0,0.0,-1.4244220988e-08,0.24460950353,0.015617893444,-0.041866016329,0.02738522963
ag25,ok,,3.1757681625,281753829.37,30373.529983,121017.18847,11725668.941,203137.84419,23640971.383,0.0,0.0,0.0,-8.8367740046e-08,1.0769340539e-08,8.8941761548e-08,9.8343322886e-07,0.0,0.0,1.7441019163e-06,0.0,0.0,0.0,0.0,-2.2983819122e-08,0.24483831265,0.016808080233,-0.052974531848,0.029870338663
ag26,ok,,3.1745133187,281642499.76,24153.071518,102793.71466,11728316.882,166411.23632,23626817.829,0.0,0.0,0.0,-1.1475528217e-07,1.107680444e-08,1.4078623001e-07,1.3219177712e-06,0.0,0.0,2.6401183924e-06,0.0,0.0,0.0,0.0,-3.671970686e-08,0.24513219247,0.017599332343,-0.063766968348,0.031928374468
ag27,ok,,3.1737112717,281571342.23,18635.792436,87052.377401,11731241.825,133972.31696,23620039.331,0.0,0.0,0.0,-1.5083557568e-07,1.1515104518e-08,2.1508266408e-07,1.8256420294e-06,0.0,0.0,3.941654061e-06,0.0,0.0,0.0,0.0,-5.5644474874e-08,0.24541241976,0.018379313631,-0.073455846935,0.034022285923
ag35,ok,,3.1967502649,283615359.37,45555.54879,157888.50717,11789901.067,287086.51032,24087546.593,0.0,0.0,0.0,-1.3786905026e-07,1.5336177875e-08,2.4500632335e-07,1.1232195129e-06,0.0,0.0,3.0066379881e-07,0.0,0.0,0.0,0.0,-1.2866914871e-07,0.2462277256,0.030527110867,-0.013696904356,0.051168881322
ag36,ok,,3.1930164054,283284091.74,40258.0379,139152.61364,11787022.089,252235.69582,24024303.527,0.0,0.0,0.0,-1.4660635776e-07,1.5269189313e-08,2.5491192928e-07,1.1870888837e-06,0.0,0.0,3.2017466543e-07,0.0,0.0,0.0,0.0,-1.3484326757e-07,0.24660706174,0.028625192532,-0.012889603815,0.04778986927
