airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,tc2,tc3,sc2,sc3
apex16,ok,,30.751370482,2728258471.1,833615.35867,2928557.8783,112959082.63,5037404.3152,213555346.63,0.23225287881,0.020258541403,0.12058758675,0.029809548419
a18sm,ok,,30.711312035,2724704489.8,247564.2742,1332708.6079,113913016.63,1737414.1129,214814900.95,0.23473157361,0.026234297788,0.04654664249,0.044883928134
clarkyh,ok,,30.812228078,2733657750.9,754331.03273,2794049.6122,113421009.56,4534267.6673,215283296.46,0.23217759209,0.04537039124,0.038143184307,0.063687845802
c141a,ok,,31.276227816,2774823760.6,1020211.3906,3210559.9568,115050829.01,5854628.9113,225032676.03,0.23636379865,0.0078582918197,0.11418924026,0.011953081591
dae11,ok,,29.914771036,2654035453.0,796777.39006,4136755.6337,109146229.9,5692713.9767,195382743.47,0.20961392161,0.045293794358,0.056899061145,0.077338793091
ds19,ok,,29.267544772,2596613604.6,334549.64447,1459777.3702,109337091.56,1981070.4035,187290399.85,0.21197655193,0.015220616522,0.022664232719,0.023351555128
du-80-176-v1,ok,,30.838231026,2735964729.8,1619432.374,5866191.3415,111931824.69,9995298.5788,212922528.6,0.2235380843,0.023339220045,0.093863494951,0.032219688413
ag45c03,ok,,28.17906109,2500043442.7,186607.13912,1059526.7266,107055196.62,1130896.5699,170807846.5,0.19790908027,0.0208279299,-0.026052080218,0.027073526691
ds21,ok,,29.306702685,2600087690.7,347183.45237,1486515.4678,109448469.69,2042192.3159,187970059.59,0.21243208765,0.013509772428,0.023158335549,0.020926771676
du861372,ok,,30.377029458,2695046973.4,967858.63712,3474066.2406,111663520.77,5723333.3881,205855810.14,0.22422122189,0.00018445784618,0.10168819229,-0.00034661942801
e1214,ok,,31.510834886,2795638076.0,1722433.9935,6633017.4188,113577669.6,11239004.23,225644427.4,0.22078673475,0.014248630279,-0.03903563961,0.024990846451
e169,ok,,30.381446127,2695438819.9,908012.91617,3661283.4462,111682785.64,5629135.4579,206117990.72,0.21967249879,-4.5737449349e-11,-0.024942224661,8.8590761389e-11
e210,ok,,30.676534132,2721618997.7,877119.98153,3515982.9577,112374365.07,5592705.641,211452195.4,0.22531414646,0.030038481155,0.026829013438,0.046245343126
e342,error,Case failed and returned no VABS output.,,,,,,,,,,,
e432,ok,,30.820518101,2734393240.9,1335399.0687,4942103.4569,112104707.68,8361930.1572,212979449.68,0.22353438221,0.031795386,0.07844890519,0.049473517893
e433,ok,,30.725877126,2725996703.2,1126653.8306,4044268.0493,112351638.12,6871415.5836,212123436.97,0.22683006413,0.030509103707,0.11561831851,0.045815800898
e473,ok,,31.309792276,2777801596.1,1165111.1151,4399946.2891,114293644.42,7295996.0214,224102036.2,0.22631218813,1.3633773034e-10,-0.048455789399,2.4393640903e-09
e502,ok,,30.807582006,2733245551.9,1304733.2229,4459550.9177,112456828.76,7858517.9939,213424513.52,0.22979227112,0.0094405656572,0.12201183004,0.015874195489
ebambino7,ok,,30.030309039,2664285973.0,184895.77824,732529.1085,112239111.02,1039140.8603,202325875.7,0.23201096984,0.025547887957,0.10140802235,0.030538228167
fx05191,error,Case failed and returned no VABS output.,,,,,,,,,,,
fx75193,ok,,31.070049039,2756531600.4,1902515.1589,6903929.1847,111843492.35,12047713.487,215987664.21,0.22525102592,0.027451169245,0.10947014981,0.04083982727
fx66h80,ok,,29.072199046,2579282551.6,254703.98562,1287144.2587,108923485.04,1589784.2048,184164108.97,0.21159459945,0.011577764751,0.0019488398638,0.025039268419
fx77080,ok,,30.023719763,2663701373.1,325066.69949,1244516.1429,111932297.62,1838295.4332,201684517.95,0.2241131241,3.6011330745e-11,0.019159919091,3.9983660029e-09
fx77w270,ok,,33.706043885,2990396795.9,3658187.1268,11405963.088,118114122.92,24300322.223,268715294.04,0.23855179856,0.024828189948,0.031184231956,0.039157306769
fx63158,error,Case failed and returned no VABS output.,,,,,,,,,,,
giiia,ok,,30.767953783,2729729739.9,690499.72421,2305105.1251,113640056.93,3948229.511,215054947.66,0.23367403692,0.0026010887591,0.086782320465,0.004900909547
giiid,ok,,30.257371041,2684430890.9,505190.83771,1799476.7667,112180833.64,2900590.6252,205272439.24,0.22852108241,0.005148010949,0.094477811007,0.010101295937
fx05h126,error,Case failed and returned no VABS output.,,,,,,,,,,,
goe147,ok,,29.477784675,2615266067.5,209846.43973,1367715.7234,110593295.16,1457665.1306,192514292.63,0.21552530042,0.024869556975,-0.049011391524,0.04460050488
goe177,ok,,29.938223286,2656116134.3,241545.65104,1612919.5434,111045238.18,1846133.4281,199006073.57,0.22284819283,0.03451897761,0.0070026856582,0.059598816712
goe190,ok,,30.759717327,2728999002.4,571548.8529,3331026.9012,112342387.43,4347385.1802,212549695.68,0.22434468878,0.0400040395,-0.040851925015,0.064879644237
goe242,ok,,30.176513955,2677257258.3,1036421.5463,5690860.2903,109798038.26,7587282.866,200335521.59,0.20967954964,0.055745630635,0.0092936270904,0.08339395205
fx80080,error,Case failed and returned no VABS output.,,,,,,,,,,,
goe256,ok,,31.695552189,2812026176.4,1394152.1458,4628528.7263,115027634.32,9361444.6191,231213647.98,0.23295289889,0.031292346768,0.025099232419,0.05668401744
goe284,ok,,32.050313404,2843500555.5,1525698.4423,5480786.8926,115596763.7,10629861.182,237609739.09,0.23149434091,0.032487940353,-0.027966831873,0.060103570609
goe304,ok,,31.002992807,2750582378.3,430603.93723,2438678.1875,113672358.46,3272097.8672,218488711.33,0.22884710003,0.043080312746,0.044155826399,0.075339289194
goe309,ok,,30.866225236,2738448373.3,419531.82166,1846687.7257,113802510.86,2743249.4103,216703704.31,0.235254673,0.028073234444,0.07666839667,0.051425032706
goe318,ok,,30.014021445,2662840939.4,382478.07288,2003372.6107,111590940.71,2587597.7532,201123184.77,0.22069440993,0.027215612887,0.007960710946,0.050483904274
goe360,ok,,30.625093222,2717055165.4,461482.88354,2401978.634,112557651.04,3308471.9885,211086040.79,0.22622332237,0.039375692653,0.050626371114,0.06888387577
goe330,ok,,30.950675319,2745940776.1,538052.34773,2577090.1376,113395468.54,3786343.8766,217224008.41,0.23146072122,0.0402840718,0.057529308834,0.069632844093
goe365,ok,,30.980414461,2748579229.7,746337.05376,3000523.8287,113512968.79,4800280.5918,217869358.93,0.22966030379,0.036510498979,0.058588460121,0.061178328298
goe366,ok,,31.711872988,2813474156.1,951917.2135,4156769.6607,114868846.55,6701540.2083,231126380.67,0.23197025647,0.050123843134,0.062927493379,0.086171405782
goe409,ok,,30.714044006,2724946870.0,902288.93357,3054700.0436,113167810.51,5213709.2304,213435698.23,0.22915742769,9.4108310916e-15,0.070689552571,-3.9810216534e-09
goe417a,ok,,30.260813369,2684736293.9,39412.482192,1073044.5867,111676279.34,971645.60862,204403003.41,0.22442512386,0.039935046747,0.085824095917,0.070535354448
goe491,ok,,29.834748608,2646935871.5,116794.21956,641374.79612,111337635.96,759389.16784,198046848.45,0.22665322497,0.018712081175,0.065484644884,0.032966214912
goe523,ok,,31.110034154,2760079075.8,1199942.0916,6515945.8745,111113118.23,9321440.4811,215309281.13,0.21388247957,0.072642110443,0.013612360121,0.11040060762
goe546,ok,,30.369223786,2694354455.0,531832.03596,2208242.5522,112178892.11,3318564.6275,206832970.48,0.22654340029,0.025405976814,0.0474015954,0.041428785135
goe599,ok,,30.815133214,2733915494.2,528159.29506,1847226.7926,114015252.68,3074443.2455,216402588.06,0.23711098647,0.010555113342,0.071648294735,0.017275596125
