airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
a18,ok,,30.609150247,327504741.99,336645.08278,1926753.807,161021369.66,208044.98043,26444406.426,-6.1617064886e-09,2.2072082104e-08,-5.1530405269e-08,-1.9571682019e-07,1.2149192373e-08,-3.1392143039e-09,1.7521141959e-07,7.4936980007e-08,-1.3481792661e-09,-1.7762055734e-07,-7.1067667624e-08,6.9896192636e-08,-1.1341567289e-07,-1.8874794352e-08,-7.2452804766e-08,0.24319025144,0.037060677031,0.059795087227,0.058984062851
a18sm,ok,,30.711312035,328540734.7,337579.42,1906286.3132,161434503.43,208167.98661,26703151.158,-4.5661652835e-09,2.1252424406e-08,-5.3138545795e-08,-1.2368087738e-07,9.0195812552e-09,-9.263712185e-09,1.32969322e-07,7.7944861549e-08,-9.4056408591e-10,-1.8789325178e-07,-7.3116644176e-08,6.8954413819e-08,-1.1208866319e-07,-2.0721996756e-08,2.9319167847e-09,0.2428668733,0.025894638182,0.06342889496,0.044887706597
a63a108c,ok,,30.374642173,324165812.89,413605.37857,1651054.623,157701941.28,203318.39847,26075682.016,-7.8314853272e-10,2.002059135e-08,-5.165345476e-08,-2.4853849913e-08,9.1346793938e-09,-2.4739818178e-10,1.4863155776e-08,9.509826512e-08,-1.446034474e-10,-1.3140480006e-07,-7.1138475452e-09,7.7095441016e-08,-8.5858757094e-09,-2.2193734816e-08,-4.9397293347e-09,0.23754186067,0.0048146775713,0.054349732077,0.0061474811717
ag03,ok,,29.133236367,316907068.5,239430.59024,1241951.8739,160773567.91,121585.42514,24015024.519,-3.3187082976e-09,2.1837659069e-08,-6.7083165751e-08,-1.3428377637e-07,1.0768856209e-08,3.6476942641e-09,9.8319425425e-08,1.141695913e-07,-1.1628001517e-09,-1.4430368639e-07,-6.8031340861e-08,8.7953926149e-08,-1.0244465129e-07,-3.5878787284e-08,-8.303447336e-08,0.22603068832,0.014046432657,0.034550716806,0.023540678062
ag04,ok,,28.765437572,314478834.09,228799.70413,1312972.4562,163304259.36,117287.20499,23632098.886,-2.9755267521e-09,1.8547020464e-08,-6.9848035345e-08,-1.1523971569e-07,1.0007720795e-08,2.375645391e-09,9.1140898069e-08,1.1411905809e-07,-1.125092368e-09,-3.1154780334e-08,-9.0714087062e-08,8.1639563561e-08,-1.2652959004e-07,-4.4516269688e-08,-4.3194287958e-08,0.22270044974,0.012388232648,0.0071282045226,0.020853010512
ag08,ok,,28.758538314,316180869.39,185247.8306,1124839.1283,167550163.52,94951.161107,23787898.117,-3.3185979699e-09,2.0162231456e-08,-7.6451186488e-08,-1.4483415782e-07,1.0077098024e-08,2.4433633515e-09,1.1556737865e-07,1.2268853446e-07,-1.2855387248e-09,-3.8088342282e-08,-1.3109137801e-07,8.6473408296e-08,-1.77493629e-07,-4.9721291411e-08,-5.0882308849e-08,0.22306196623,0.012674781568,0.007055782779,0.021408606184
ag11,ok,,29.253325758,319193922.19,209342.84186,1125219.4391,163933220.94,106702.49338,24422319.591,-3.9323832464e-09,2.340938683e-08,-7.0737765208e-08,-1.7773515871e-07,1.1752041003e-08,5.9907075858e-09,1.2538531609e-07,1.1863297297e-07,-1.4865420099e-09,-1.8693414825e-07,-8.5881192974e-08,9.1127970378e-08,-1.2920773924e-07,-3.8631111688e-08,-1.2926192814e-07,0.22708777574,0.015835686848,0.039133325835,0.026248518398
ag09,ok,,28.168507499,314479113.0,127956.67493,927025.11217,176803598.3,64940.288704,23219534.823,-3.964094313e-09,2.1906459371e-08,-9.0461956717e-08,-2.2124529085e-07,1.0987299985e-08,4.7414120876e-09,1.698081428e-07,1.3996815168e-07,-1.9265938825e-09,-8.0985717141e-08,-2.2315905204e-07,9.0864841211e-08,-2.9516985163e-07,-6.7555023027e-08,-1.1606410953e-07,0.216385071,0.012737513234,0.010362663082,0.021728085328
ag12,ok,,27.581929872,304709446.51,197121.54485,1362816.8262,165796357.74,101369.95837,21831570.432,-3.3953144005e-09,1.6371073611e-08,-7.6732124325e-08,-1.381740376e-07,9.7349064314e-09,3.2736190621e-11,1.0812143049e-07,1.2014912196e-07,-1.4966889486e-09,-2.485172603e-09,-1.2372789149e-07,7.6749894379e-08,-1.8849114673e-07,-6.3321666449e-08,-1.194243027e-08,0.20887612846,0.013753850486,0.00048988106273,0.021313063411
ag10,ok,,28.488834132,318923019.96,113941.39048,846323.30393,183953115.27,56892.247331,24109343.639,-3.8453456569e-09,2.1016622632e-08,-9.53275659e-08,-2.3548680734e-07,1.0879710382e-08,7.9024430891e-09,1.7585023236e-07,1.4661335446e-07,-1.9348117793e-09,4.4771681289e-08,-2.6127399444e-07,9.0148776391e-08,-3.0194884105e-07,-7.1626604798e-08,-1.3070883301e-07,0.22006893656,0.011761522789,-0.0051013476202,0.020036619992
ag13,ok,,27.38215367,304042324.83,170769.60191,1267052.4843,169216938.36,88259.380688,21661205.341,-3.8496579611e-09,1.7254001627e-08,-8.1496867223e-08,-1.7092547154e-07,9.8302424366e-09,-5.522095062e-11,1.335700688e-07,1.2505403931e-07,-1.8089685337e-09,-1.9375024757e-08,-1.5877562549e-07,7.7968691505e-08,-2.4709306485e-07,-7.0705308927e-08,-1.8426236956e-08,0.20691308069,0.014749315116,0.0033086652647,0.022809707475
ag14,ok,,27.083019885,302759121.76,141368.68612,1161792.3627,174208037.44,73726.162524,21348445.619,-4.4125788529e-09,1.8136567214e-08,-8.7920637745e-08,-2.2079346193e-07,1.0119918284e-08,6.9443262257e-10,1.7237618911e-07,1.3076749266e-07,-2.2693647801e-09,-2.3683355673e-08,-2.088450376e-07,7.921137812e-08,-3.3593983879e-07,-8.0698457695e-08,-3.6444263717e-08,0.20337801588,0.01573191311,0.0033480848743,0.024368595373
ag16,ok,,28.210624109,308029919.36,269634.62867,1619110.1367,160006371.53,140259.48735,22501157.893,-2.9117040523e-09,1.603802209e-08,-6.5591683633e-08,-9.6955715923e-08,9.5132245244e-09,-1.176207634e-09,7.9018522673e-08,1.0592722378e-07,-1.0317195529e-09,-1.6022943191e-08,-7.9667234036e-08,7.3928285442e-08,-1.1880942658e-07,-4.6269322069e-08,2.6349384279e-09,0.21486480861,0.013678369577,0.0043203403377,0.021306130019
ag17,ok,,27.903387508,306667086.06,220391.89857,1440997.6654,163366529.97,114810.36336,22174884.517,-3.4574089636e-09,1.7113492416e-08,-7.1965517082e-08,-1.3058025046e-07,9.6540055118e-09,-1.0004272555e-09,1.0505598121e-07,1.1355748922e-07,-1.3801741184e-09,-3.2977901224e-08,-1.1397367771e-07,7.6691612852e-08,-1.7310438615e-07,-5.5093793554e-08,-6.2943253757e-09,0.21198382725,0.014838782877,0.0072680622616,0.023153487156
